desc,feature,title
"Adorn a trendy look by matching your favourite kurta with this sand brown palazzo pants. It features print all over, elasticated waist and drawstring. Crafted in cotton fabric it is very soft to touch.",Key Features Category Mix & Match Color Brown Fabric Cotton Flax,Sand Brown Cotton Flax Palazzo
"Smarten up your collection of cotton pants with this pair of palazzo in white color. It comes featuring elasticated waist with drawstring and self embroidered edges. Crafted in finest cotton and cut into comfortable fit, this pair will assure you spend a blissful day wearing it.",Key Features Category Mix & Match Color White Fabric Cotton,White Cotton Palazzo
"A perfect pair of a cotton palazzo, that can be styled with any of your favourite kurtas. Crafted in finest cotton and stitched into comfortable fit, this palazzo pants is summer a must-buy.",Key Features Category Mix & Match Color Beige Fabric Poly Cotton,Beige Poly Cotton Palazzo
"Smarten up your collection of cotton pants with this pair of palazzo in beige color. It comes featuring elasticated waist with drawstring and self embroidered edges. Crafted in finest cotton and cut into comfortable fit, this pair will assure you spend a blissful day wearing it.",Key Features Category Mix & Match Color Beige Fabric Cotton,Beige Cotton Palazzo
"Give your favorite kurtas a perfect style partner in the form of this knitted churidar in black. It comes featuring elasticated waisted for added comfort. Crafted in finest fabric, this is pair will do great in this season.",Key Features Color Black Fabric Cotton,Black Cotton And Polyester Knitted Churidar
"For those who put comfort first,  this pair of leggings is a must-buy! It comes featuring an elasticated waist and stretchable body for added comfort. Take home and pair with your favourite kurta.",Key Features Color Indigo Fabric Cotton,Indigo Cotton And Polyester Leggings
"For those who put comfort first,  this pair of leggings is a must-buy! It comes featuring an elasticated waist and stretchable body for added comfort. Take home and pair with your favourite kurta.",Key Features Color Peach Fabric Cotton,Peach Cotton And Polyester Leggings
"For those who put comfort first,  this pair of leggings is a must-buy! It comes featuring an elasticated waist and stretchable body for added comfort. Take home and pair with your favourite kurta.",Key Features Color Red Fabric Cotton,Red Cotton And Polyester Leggings
"For those who put comfort first,  this pair of leggings is a must-buy! It comes featuring an elasticated waist and stretchable body for added comfort. Take home and pair with your favourite kurta.",Key Features Color White Fabric Cotton,White Cotton And Polyester Leggings
Give your ethnic look a perfect match with this red cotton dupatta. It has a crushed bodice which is very much in trend and a matching red Patti with gold metallic print to match with your ethnic look.,Key Features Category Mix & Match Color Red Fabric Cotton,Red Cotton Dupatta
"An off white cotton stole to give your tops a chic complement. It's a cotton made stole featuring multicolor tassels on the edges, making it a gorgeous choice for your look of the day. Crafted in cotton, this stole is very soft to touch.",Key Features Category Mix & Match Color Off White Fabric Cotton,Off White Cotton Stole
"Give your look of the day a perfect match with this dupatta cum stole. It has crushed bodice with a soft touch of cotton, which makes it a perfect blend of trendy look and comfort.",Key Features Category Mix & Match Color Black Fabric Cotton,Black Cotton Dupatta
"Give your look of the day a perfect match with this blush pink dupatta cum stole. It has crushed bodice with a soft touch of cotton, which makes it a perfect blend of trendy look and comfort.",Key Features Category Mix & Match Color Pink Fabric Cotton,Blush Pink Cotton Dupatta
"Give your look of the day a perfect match with this blush pink dupatta cum stole. It has crushed bodice with a soft touch of cotton, which makes it a perfect blend of trendy look and comfort.",Key Features Category Mix & Match Color Fuschia Fabric Cotton,Fuchsia Cotton Dupatta
"Give your look of the day a perfect match with this blush pink dupatta cum stole. It has crushed bodice with a soft touch of cotton, which makes it a perfect blend of trendy look and comfort.",Key Features Category Mix & Match Color Off White Fabric Cotton,Off White Cotton Dupatta
Red Cotton Dupatta,Key Features Category Mix & Match Color Red Fabric Cotton,Red Cotton Dupatta
"Give your look of the day a perfect match with this dupatta cum stole. It has crushed bodice with a soft touch of cotton, which makes it a perfect blend of trendy look and comfort.",Key Features Category Mix & Match Color White Fabric Cotton,White Cotton Dupatta
Looking for a lightweight dupatta which you can carry with your heavily embroidered festive kurta? Then this is the perfect choice for that.,Key Features Category Mix & Match Color Beige Fabric Poly Cotton,Beige Poly Metallic Cotton Dupatta
Off White Poly Cotton Dupatta,Key Features Category Mix & Match Color Off White Fabric Poly Cotton,Off White Poly Cotton Dupatta
A blue cotton dupatta with contrast patti. It is from Biba's flared glare collection. The fabric of this dupatta is soft to touch and patti features gold metallic print.,Key Features Category Mix & Match Color Blue Fabric Cotton,Blue Cotton Dupatta
"Peach cotton dupatta to match with your favorite kurtas or top. It's a crushed dupatta cum stole. You can style it with kurtis as a dupatta or wrap around your neck stylishly as a stole with tops. Crafted in finest cotton, it feels soft to touch.",Key Features Category Mix & Match Color Peach Fabric Cotton,Peach Cotton Dupatta
"Give your winter kurtas a gorgeous match with this printed stole. Crafted in finest rayon fabric, it feels very soft to touch and the beautiful print on it, assures you look stunning while flaunting it.",Key Features Category Mix & Match Color Multicolored Fabric Rayon,Multicolored Rayon Crushed Stole
"A dupatta cum stole in black. Crafted in finest viscose, this dupatta is very soft to touch and comes featuring printed taping on all the sides and tassels on the edges.",Key Features Category Mix & Match Color Black Fabric Rayon,Black Rayon Dupatta
Give your favourite kurtas a gorgeous match in the form of this indigo dupatta. It's a crushed dupatta with printed borders and tassels. It has different print on different sides of dupatta.,Key Features Category Mix & Match Color Indigo Fabric Cotton,Indigo Cotton Dupatta
Give your festive kurta a nice match with this lotus print dupatta. It is a cotton crafted dupatta having crushed bodice. Take home pair it with a contrasting kurta and matching bottom to create a charismatic look.,Key Features Category Mix & Match Color Beige Fabric Cotton,Beige Cotton Gold Metallic Dupatta
"Give your look of the day a perfect match with this white and pink dupatta. It has crushed bodice with a soft touch of cotton, which makes it a perfect blend of trendy look and comfort.",Key Features Category Mix & Match Color Off White Fabric Cotton,Off White Cotton Dupatta
Give your festive kurtas a gorgeous complement in the form of this off white dupatta. It comes featuring gold metallic print on two sides and tassels attached to the edges. It is a cotton crafted piece which makes it soft to touch and apt choice for all seasons.,Key Features Category Mix & Match Color Off White Fabric Cotton,Off White Cotton Dupatta
Give your festive kurtas a gorgeous complement in the form of this off white dupatta. It comes featuring gold metallic print on two sides and tassels attached to the edges. It is a cotton crafted piece which makes it soft to touch and apt choice for all seasons.,Key Features Category Mix & Match Color Red Fabric Cotton,Red Cotton Dupatta
Give your ethnic look a femnine match with this white cotton dupatta by Biba. It comes featuring mix metallic print all over and golden tassels on corners. You can style it with mid length kurtas or short kurtis for to give your look a stylish touch.,Key Features Category Mix & Match Color White Fabric Cotton,White Cotton Dupatta
"A summer perfect duo for your little girl. The set combines a straight cut kurta and palazzo pants. Kurta comes featuring floral print all over and palazzo comes in solid texture. Crafted in finest cotton, this two piece set will prove a great choice for your kid.",Key Features Category Girls Fit A-Line Color White Neckline V-Neck Fabric Cotton Sleeve Length 3/4 Sleeve,White Cotton A Line Suit Set
"A summer perfect two piece set for your little girl. The set includes a white cotton top and yellow dhoti pants. Top comes featuring embroidered yoke and dhoti pants comes featuring elasticated waist. It is a cotton made kurta, which makes it perfect for your kids delicate skin.",Key Features Category Girls Fit A-Line Color White Neckline Round Neck Fabric Cotton Sleeve Length Cap Sleeve,White Cotton Two Piece Set
"A perfect wedding wear outfit for your little girl. This set includes an A line kurta with high low hemline, contrasting bottom and net dupatta. The color combination, metallic print and embroidery on the kurta, making this set a gorgeous choice. Kurta also features cotton lining.",Key Features Category Girls Fit A-Line Color Yellow Neckline Round Neck Fabric Poly Cotton Sleeve Length Elbow Length,Yellow Poly Cotton A Line Suit Set
"A floral suit set for your little girl. It is a set of three, an A line kurta, churidar and dupatta. Kurta comes featuring floral print all over with the hint of shimmer. Kurta comes paired with contrasting pink leggings and dupatta. It is a cotton made set and kurta features cotton lining for added comfort.",Key Features Category Girls Fit A-Line Color Yellow Neckline Round Neck Fabric Cotton Sleeve Length Cap Sleeve,Yellow Cotton A Line Suit Set
